model,failure_rate,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,RFS_mean,FCR_mean,Best_Iteration_mean
Historical Mean,0.05,9.972319984436036,0.09050808660635648,12.94168930053711,0.1219110877003185,28.1927921295166,0.605773982523668,,100.0,
Historical Mean,0.1,9.939179992675781,0.06308924133899774,12.903734016418458,0.09710643558695552,28.029201126098634,0.5278465397578045,,100.0,
Historical Mean,0.2,9.92809886932373,0.029662964370143874,12.89628562927246,0.06180481884657115,28.053577041625978,0.28469709120416875,,100.0,
Historical Mean,0.3,9.945112037658692,0.03134705320615926,12.919344711303712,0.05210276319462576,28.1674446105957,0.2996856127775457,,100.0,
Historical Mean,0.4,9.938252067565918,0.03547291111746303,12.908354759216309,0.032206585506691456,28.114674377441407,0.1335935661350118,,100.0,
LOCF,0.05,3.0499889850616455,0.08172538882071217,5.920047378540039,0.19320970580414537,6.882361030578613,0.2257494155214373,,100.0,
LOCF,0.1,3.0517242908477784,0.06096479289832743,5.867364692687988,0.18586058778573214,6.89294023513794,0.11907380651405641,,100.0,
LOCF,0.2,3.106689929962158,0.03725500148927987,6.046755409240722,0.14694535276821907,7.047356796264649,0.06727641642550064,,100.0,
LOCF,0.3,3.17571439743042,0.0415650913104852,6.217998123168945,0.16339203793875554,7.2859827995300295,0.1556342817055012,,100.0,
LOCF,0.4,3.2746160984039308,0.024394769026918818,6.483331680297852,0.08045352408366788,7.580464935302734,0.10218280281116396,,100.0,
LightGBM,0.05,2.5057819651746334,0.04211887318657452,4.315617064106301,0.060030549285164506,6.027554124680588,0.15741067157301925,,100.0,161.6
LightGBM,0.1,2.4977584355955775,0.02191197750175287,4.2772984353554975,0.055633802957742985,5.956238670469256,0.07552619985057644,,100.0,127.4
LightGBM,0.2,2.501392945138276,0.017290273818131086,4.320631666823821,0.036825366878488586,6.015154939525109,0.06467411998834863,,100.0,160.4
LightGBM,0.3,2.5133778775000586,0.017631452145089096,4.338596407845482,0.05835141611548768,6.054820265905027,0.09584895433463324,,100.0,138.2
LightGBM,0.4,2.5258035426889167,0.012300161150094462,4.354295068568487,0.03492436546367254,6.089071871656904,0.0718721086224798,,100.0,131.8
